ipAddress,baseName,startingIndex,numNodes,ossModelIdentity,nodeType,platformType,addNodeIntKpi,addNodeExtKpi
10.243.64.1,LTE201,1,2,1116-673-956,ERBS,CPP,25,25
10.243.64.3,LTE202,3,2,1116-673-956,ERBS,CPP,25,25
10.243.64.5,LTE203,5,2,1116-673-956,ERBS,CPP,25,25
10.243.64.7,LTE204,7,2,1116-673-956,ERBS,CPP,25,25
10.243.64.9,LTE205,9,2,1116-673-956,ERBS,CPP,25,25
10.243.64.11,LTE206,11,2,1116-673-956,ERBS,CPP,25,25
10.243.64.13,LTE207,13,2,1116-673-956,ERBS,CPP,25,25
10.243.64.15,LTE208,15,2,1116-673-956,ERBS,CPP,25,25
10.243.64.17,LTE209,17,2,1116-673-956,ERBS,CPP,25,25
10.243.64.19,LTE210,19,2,1116-673-956,ERBS,CPP,25,25
