ipAddress,baseName,startingIndex,numNodes,ossModelIdentity,nodeType,platformType
10.100.0.1,LTE301,1,160,5783-904-386,ERBS,CPP
10.100.1.1,LTE302,1,160,5783-904-386,ERBS,CPP
10.100.2.1,LTE303,1,160,5783-904-386,ERBS,CPP
10.100.3.1,LTE304,1,160,5783-904-386,ERBS,CPP
10.100.4.1,LTE305,1,160,5783-904-386,ERBS,CPP
10.100.5.1,LTE306,1,160,5783-904-386,ERBS,CPP
10.100.6.1,LTE307,1,160,5783-904-386,ERBS,CPP
10.100.7.1,LTE308,1,160,5783-904-386,ERBS,CPP
10.100.8.1,LTE309,1,160,5783-904-386,ERBS,CPP
10.100.9.1,LTE310,1,160,5783-904-386,ERBS,CPP
10.100.10.1,LTE311,1,160,5783-904-386,ERBS,CPP
10.100.11.1,LTE312,1,160,5783-904-386,ERBS,CPP
10.100.0.1,LTE313,1,160,5783-904-386,ERBS,CPP
10.100.1.1,LTE314,1,160,5783-904-386,ERBS,CPP
10.100.2.1,LTE315,1,160,5783-904-386,ERBS,CPP
10.100.3.1,LTE316,1,160,5783-904-386,ERBS,CPP
10.100.4.1,LTE317,1,160,5783-904-386,ERBS,CPP
10.100.5.1,LTE318,1,160,5783-904-386,ERBS,CPP
10.100.6.1,LTE319,1,160,5783-904-386,ERBS,CPP
10.100.7.1,LTE320,1,160,5783-904-386,ERBS,CPP
10.100.8.1,LTE321,1,160,5783-904-386,ERBS,CPP
10.100.9.1,LTE322,1,160,5783-904-386,ERBS,CPP
10.100.10.1,LTE323,1,160,5783-904-386,ERBS,CPP
10.100.11.1,LTE324,1,160,5783-904-386,ERBS,CPP
10.100.0.1,LTE325,1,160,5783-904-386,ERBS,CPP
10.100.1.1,LTE326,1,160,5783-904-386,ERBS,CPP
10.100.2.1,LTE327,1,160,5783-904-386,ERBS,CPP
10.100.3.1,LTE328,1,160,5783-904-386,ERBS,CPP
10.100.4.1,LTE329,1,160,5783-904-386,ERBS,CPP
10.100.5.1,LTE330,1,160,5783-904-386,ERBS,CPP
10.100.6.1,LTE331,1,160,5783-904-386,ERBS,CPP
10.100.7.1,LTE332,1,160,5783-904-386,ERBS,CPP
10.100.8.1,LTE333,1,160,5783-904-386,ERBS,CPP
10.100.9.1,LTE334,1,160,5783-904-386,ERBS,CPP
10.100.10.1,LTE335,1,160,5783-904-386,ERBS,CPP
10.100.11.1,LTE336,1,160,5783-904-386,ERBS,CPP
10.100.0.1,LTE337,1,160,5783-904-386,ERBS,CPP
10.100.1.1,LTE338,1,160,5783-904-386,ERBS,CPP
10.100.2.1,LTE339,1,160,5783-904-386,ERBS,CPP
10.100.3.1,LTE340,1,160,5783-904-386,ERBS,CPP
10.100.4.1,LTE341,1,160,5783-904-386,ERBS,CPP
10.100.5.1,LTE342,1,160,5783-904-386,ERBS,CPP
10.100.6.1,LTE343,1,160,5783-904-386,ERBS,CPP
10.100.7.1,LTE344,1,160,5783-904-386,ERBS,CPP
10.100.8.1,LTE345,1,160,5783-904-386,ERBS,CPP
10.100.9.1,LTE346,1,160,5783-904-386,ERBS,CPP
10.100.10.1,LTE347,1,160,5783-904-386,ERBS,CPP
10.100.11.1,LTE348,1,160,5783-904-386,ERBS,CPP
10.100.0.1,LTE349,1,160,5783-904-386,ERBS,CPP
10.100.1.1,LTE350,1,160,5783-904-386,ERBS,CPP
10.100.2.1,LTE351,1,160,5783-904-386,ERBS,CPP
10.100.3.1,LTE352,1,160,5783-904-386,ERBS,CPP
10.100.4.1,LTE353,1,160,5783-904-386,ERBS,CPP
10.100.5.1,LTE354,1,160,5783-904-386,ERBS,CPP
10.100.6.1,LTE355,1,160,5783-904-386,ERBS,CPP
10.100.7.1,LTE356,1,160,5783-904-386,ERBS,CPP
10.100.8.1,LTE357,1,160,5783-904-386,ERBS,CPP
10.100.9.1,LTE358,1,160,5783-904-386,ERBS,CPP
10.100.10.1,LTE359,1,160,5783-904-386,ERBS,CPP
10.100.11.1,LTE360,1,160,5783-904-386,ERBS,CPP
10.100.0.1,LTE361,1,160,5783-904-386,ERBS,CPP
10.100.1.1,LTE362,1,160,5783-904-386,ERBS,CPP
10.100.2.1,LTE363,1,160,5783-904-386,ERBS,CPP
10.100.3.1,LTE364,1,160,5783-904-386,ERBS,CPP
10.100.4.1,LTE365,1,160,5783-904-386,ERBS,CPP
10.100.5.1,LTE366,1,160,5783-904-386,ERBS,CPP
10.100.6.1,LTE367,1,160,5783-904-386,ERBS,CPP
