fdn,attributes
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1","EUtranFrequencyId=test1,arfcnValueEUtranDl=0"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test1","EUtranCellFDDId=test1,earfcndl=0,earfcnul=18000,cellId=100,physicalLayerCellIdGroup=100,physicalLayerSubCellId=2,tac=60000"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test2","EUtranCellFDDId=test2,earfcndl=0,earfcnul=18000,cellId=100,physicalLayerCellIdGroup=100,physicalLayerSubCellId=2,tac=60000"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test3","EUtranCellFDDId=test3,earfcndl=0,earfcnul=18000,cellId=100,physicalLayerCellIdGroup=100,physicalLayerSubCellId=2,tac=60000"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test4","EUtranCellFDDId=test4,earfcndl=0,earfcnul=18000,cellId=100,physicalLayerCellIdGroup=100,physicalLayerSubCellId=2,tac=60000"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test1,EUtranFreqRelation=1","EUtranFreqRelationId=1,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test2,EUtranFreqRelation=1","EUtranFreqRelationId=1,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test3,EUtranFreqRelation=1","EUtranFreqRelationId=t1,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test4,EUtranFreqRelation=1","EUtranFreqRelationId=1,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test1,EUtranFreqRelation=1,EUtranCellRelation=1","EUtranCellRelationId=1,neighborCellRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test2"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test1,EUtranFreqRelation=1,EUtranCellRelation=2","EUtranCellRelationId=2,neighborCellRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test3"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test1,EUtranFreqRelation=1,EUtranCellRelation=3","EUtranCellRelationId=3,neighborCellRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test4"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test2,EUtranFreqRelation=1,EUtranCellRelation=1","EUtranCellRelationId=1,neighborCellRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test1"""
