ipAddress,baseName,startingIndex,numNodes,ossModelIdentity,nodeType,platformType
10.154.1.1,LTE01,1,160,5981-462-912,ERBS,CPP
10.154.2.1,LTE02,1,160,5981-462-912,ERBS,CPP
10.154.3.1,LTE03,1,160,5981-462-912,ERBS,CPP
10.154.4.1,LTE04,1,160,5981-462-912,ERBS,CPP
10.154.5.1,LTE05,1,160,5981-462-912,ERBS,CPP
10.154.6.1,LTE06,1,160,5981-462-912,ERBS,CPP
10.154.18.1,LTE07,1,160,5981-462-912,ERBS,CPP
10.154.19.1,LTE08,1,160,5981-462-912,ERBS,CPP
10.154.20.1,LTE09,1,160,5981-462-912,ERBS,CPP
10.154.21.1,LTE10,1,160,5981-462-912,ERBS,CPP
10.154.22.1,LTE11,1,160,5981-462-912,ERBS,CPP
10.154.23.1,LTE12,1,160,5981-462-912,ERBS,CPP
10.154.33.1,LTE13,1,160,5981-462-912,ERBS,CPP
10.154.34.1,LTE14,1,160,5981-462-912,ERBS,CPP
10.154.35.1,LTE15,1,160,5981-462-912,ERBS,CPP
10.154.36.1,LTE16,1,160,5981-462-912,ERBS,CPP
10.154.37.1,LTE17,1,160,5981-462-912,ERBS,CPP
10.154.38.1,LTE18,1,160,5981-462-912,ERBS,CPP
10.154.49.1,LTE19,1,160,5981-462-912,ERBS,CPP
10.154.50.1,LTE20,1,160,5981-462-912,ERBS,CPP
10.154.51.1,LTE21,1,160,5981-462-912,ERBS,CPP
10.154.52.1,LTE22,1,160,5981-462-912,ERBS,CPP
10.154.53.1,LTE23,1,160,5981-462-912,ERBS,CPP
10.154.54.1,LTE24,1,160,5981-462-912,ERBS,CPP
10.154.65.1,LTE25,1,160,5981-462-912,ERBS,CPP
10.154.66.1,LTE26,1,160,5981-462-912,ERBS,CPP
10.154.67.1,LTE27,1,160,5981-462-912,ERBS,CPP
10.154.68.1,LTE28,1,160,5981-462-912,ERBS,CPP
10.154.69.1,LTE29,1,160,5981-462-912,ERBS,CPP
10.154.70.1,LTE30,1,160,5981-462-912,ERBS,CPP
10.154.81.1,LTE31,1,160,3958-644-341,ERBS,CPP
10.154.82.1,LTE32,1,160,3958-644-341,ERBS,CPP
10.154.83.1,LTE33,1,160,3958-644-341,ERBS,CPP
10.154.84.1,LTE34,1,160,3958-644-341,ERBS,CPP
10.154.85.1,LTE35,1,160,3958-644-341,ERBS,CPP
10.154.86.1,LTE36,1,160,3958-644-341,ERBS,CPP
10.154.97.1,LTE37,1,160,3958-644-341,ERBS,CPP
10.154.98.1,LTE38,1,160,3958-644-341,ERBS,CPP
10.154.99.1,LTE39,1,160,3958-644-341,ERBS,CPP
10.154.100.1,LTE40,1,160,3958-644-341,ERBS,CPP
10.154.101.1,LTE41,1,160,3958-644-341,ERBS,CPP
10.154.102.1,LTE42,1,160,3958-644-341,ERBS,CPP
10.154.113.1,LTE43,1,160,3958-644-341,ERBS,CPP
10.154.114.1,LTE44,1,160,3958-644-341,ERBS,CPP
10.154.115.1,LTE45,1,160,3958-644-341,ERBS,CPP
10.154.129.1,LTE46,1,160,3958-644-341,ERBS,CPP
10.154.130.1,LTE47,1,160,3958-644-341,ERBS,CPP
10.154.131.1,LTE48,1,160,3958-644-341,ERBS,CPP
10.154.145.1,LTE49,1,160,3958-644-341,ERBS,CPP
10.154.146.1,LTE50,1,160,3958-644-341,ERBS,CPP
10.154.147.1,LTE51,1,160,3958-644-341,ERBS,CPP
10.154.148.1,LTE52,1,160,3958-644-341,ERBS,CPP
10.154.149.1,LTE53,1,160,3958-644-341,ERBS,CPP
10.154.150.1,LTE54,1,160,3958-644-341,ERBS,CPP
10.154.161.1,LTE55,1,160,3958-644-341,ERBS,CPP
10.154.162.1,LTE56,1,160,3958-644-341,ERBS,CPP
10.154.163.1,LTE57,1,160,3958-644-341,ERBS,CPP
10.154.164.1,LTE58,1,160,3958-644-341,ERBS,CPP
10.154.165.1,LTE59,1,160,3958-644-341,ERBS,CPP
10.154.166.1,LTE60,1,160,3958-644-341,ERBS,CPP
10.154.177.1,LTE61,1,160,1116-673-956,ERBS,CPP
10.154.178.1,LTE62,1,160,1116-673-956,ERBS,CPP
10.154.179.1,LTE63,1,160,1116-673-956,ERBS,CPP
10.154.180.1,LTE64,1,160,1116-673-956,ERBS,CPP
